  plus kinetic    877.92   879.30   828.42     1.07    -1.89     0.98 861.88
  plus kinetic    877.53   879.09   831.26     1.80    -2.26     1.82 862.63
  plus kinetic    878.82   876.22   829.67     1.04    -0.67     2.04 861.57
  plus kinetic    878.71   872.30   827.29    -0.05    -0.31     0.79 859.43
  plus kinetic    877.47   871.80   827.91    -0.23    -1.59     1.21 859.06
  plus kinetic    878.46   874.44   829.12    -1.35    -1.45     0.99 860.67
  plus kinetic    879.20   876.26   828.25    -0.43     0.71     0.74 861.24
  plus kinetic    878.95   875.81   829.77     1.18     1.31     0.84 861.51
  plus kinetic    877.61   875.04   830.27     2.19     1.11     0.83 860.97
  plus kinetic    878.39   875.96   832.22     2.04    -2.42     1.25 862.19
  plus kinetic    876.17   876.31   831.76     0.21    -3.40    -0.44 861.41
  plus kinetic    871.59   878.09   831.03     1.73    -0.38    -0.39 860.24
  plus kinetic    871.82   881.12   834.42     2.09    -1.11    -1.34 862.45
  plus kinetic    873.41   880.00   834.80     0.40    -2.13    -2.20 862.74
  plus kinetic    873.18   879.91   830.88     0.99     0.73    -0.22 861.32
  plus kinetic    875.11   879.00   831.62     0.01    -0.21    -1.56 861.91
  plus kinetic    878.79   876.34   831.73    -2.03    -1.33    -1.29 862.29
  plus kinetic    881.17   874.17   829.41    -3.48    -1.30    -1.58 861.58
  plus kinetic    881.58   872.25   829.15    -2.18    -1.22    -2.84 860.99
  plus kinetic    882.64   869.84   831.02     0.54    -2.65    -2.04 861.17
  plus kinetic    880.74   869.59   833.46     0.70    -2.31    -0.70 861.26
  plus kinetic    877.75   870.92   831.68     0.22     1.93    -1.32 860.12
  plus kinetic    875.97   872.90   829.64     0.99     1.39    -1.55 859.50
  plus kinetic    876.59   874.62   831.25     0.43    -1.06    -1.57 860.82
  plus kinetic    877.06   874.99   832.07     0.54    -2.19    -2.65 861.37
  plus kinetic    877.33   875.15   830.87    -0.53    -1.02    -2.87 861.12
  plus kinetic    878.04   876.30   831.53    -0.63    -0.82    -1.90 861.96
  plus kinetic    878.52   875.47   829.67     1.32     0.05    -0.82 861.22
  plus kinetic    875.39   875.30   829.56     0.71     0.94     1.10 860.08
  plus kinetic    874.66   878.67   830.80     0.91     0.19    -0.27 861.38
  plus kinetic    875.21   876.36   831.70     0.65     1.51    -1.08 861.09
  plus kinetic    875.76   875.06   832.03     0.37     0.92    -1.03 860.95
  plus kinetic    876.59   873.69   832.31     1.96    -1.32    -1.28 860.86
  plus kinetic    877.77   874.28   831.10     0.15    -2.15    -0.76 861.05
  plus kinetic    879.64   874.89   831.99    -1.03    -0.59     1.04 862.17
  plus kinetic    879.56   873.45   830.58    -0.52    -0.03     1.59 861.20
  plus kinetic    878.36   875.30   830.78    -0.47     0.17     0.34 861.48
  plus kinetic    876.22   877.69   829.33     0.29     1.26     0.19 861.08
  plus kinetic    877.72   879.24   829.18     1.56     1.79    -0.21 862.05
  plus kinetic    876.94   876.65   832.64     0.91     1.60    -1.49 862.08
  plus kinetic    874.18   874.07   833.01     0.34     1.78    -0.62 860.42
  plus kinetic    871.78   877.24   830.73     1.16     1.94     0.72 859.92
  plus kinetic    873.22   878.37   832.79     2.52     1.49     0.62 861.46
  plus kinetic    875.67   876.59   832.33     1.30     1.40     0.62 861.53
  plus kinetic    875.56   879.34   827.45     1.78     1.41    -0.18 860.78
  plus kinetic    875.64   878.52   825.70     1.69    -0.96    -0.92 859.95
  plus kinetic    874.38   877.16   829.76     1.42    -0.33    -0.39 860.43
  plus kinetic    874.74   875.79   834.55     1.00     0.25     0.63 861.69
  plus kinetic    875.41   874.47   831.32    -1.08     0.66    -0.37 860.40
  plus kinetic    878.04   874.72   832.32    -3.15    -1.00     0.34 861.69
  plus kinetic    878.14   873.86   834.61    -4.03    -1.70    -0.36 862.20
  plus kinetic    878.03   871.02   833.58    -5.34    -0.33    -0.34 860.88
  plus kinetic    879.30   872.89   831.32    -5.09    -0.46     2.91 861.17
  plus kinetic    880.49   874.01   829.41    -1.27     0.16     1.78 861.30
  plus kinetic    879.01   875.24   827.01    -0.61     1.79     1.08 860.42
  plus kinetic    877.73   877.01   827.76    -2.76     1.28     1.01 860.83
  plus kinetic    876.68   875.27   829.52    -1.32     1.46     0.72 860.49
  plus kinetic    877.75   876.91   831.54    -1.32     1.44     2.08 862.07
  plus kinetic    874.37   877.06   831.17    -3.85     0.11     1.05 860.87
  plus kinetic    873.04   876.38   831.47    -3.97    -0.87    -0.26 860.30
  plus kinetic    874.36   877.51   833.66    -2.96    -1.30     0.19 861.84
  plus kinetic    876.66   876.47   832.91    -1.50    -1.23     0.38 862.01
  plus kinetic    877.37   875.71   831.19     1.22    -0.44     1.06 861.42
  plus kinetic    877.64   877.36   829.21     0.97    -2.28     1.13 861.40
  plus kinetic    877.87   875.48   829.09     0.88    -3.72     1.20 860.81
  plus kinetic    880.93   873.29   830.72     2.29    -1.32     0.62 861.65
  plus kinetic    882.86   871.73   831.92     1.95     0.02    -0.08 862.17
  plus kinetic    880.57   874.34   831.17     0.73    -1.77     1.05 862.03
  plus kinetic    879.59   874.73   829.48     1.33    -2.39     2.01 861.27
  plus kinetic    879.35   873.93   828.43     1.03    -1.92     0.69 860.57
  plus kinetic    878.96   874.57   828.62    -1.23    -0.04     0.73 860.72
  plus kinetic    880.14   874.56   827.24    -1.81     1.66     0.75 860.65
  plus kinetic    878.29   875.40   829.47    -0.70     2.51    -0.05 861.05
  plus kinetic    879.38   875.32   829.64     1.91     1.57    -1.32 861.45
  plus kinetic    880.77   876.53   830.29     2.30    -0.03    -0.70 862.53
  plus kinetic    879.61   876.35   827.45     1.67    -0.51    -0.84 861.14
  plus kinetic    878.29   878.69   826.56     0.98    -0.39     0.15 861.18
  plus kinetic    872.27   880.05   829.04     1.25     1.31    -0.77 860.45
  plus kinetic    872.60   881.92   830.61     1.74     0.89    -1.30 861.71
  plus kinetic    874.14   878.35   830.40     0.33    -0.60    -1.53 860.96
  plus kinetic    873.14   877.47   830.97    -1.32    -0.24    -1.59 860.53
  plus kinetic    873.34   877.93   829.05    -1.12     1.13     1.83 860.11
  plus kinetic    876.72   875.33   831.94    -0.41     1.72     1.62 861.33
  plus kinetic    877.99   873.95   832.30     1.36     2.34    -0.49 861.41
  plus kinetic    878.93   875.29   830.41    -0.71     2.58     1.14 861.54
  plus kinetic    874.85   879.34   833.70    -1.77     0.47     2.75 862.63
  plus kinetic    873.85   879.38   831.45    -0.96     0.16     1.84 861.56
  plus kinetic    876.01   876.44   829.00    -0.54    -0.43     0.82 860.48
  plus kinetic    876.79   876.68   829.05    -0.26    -0.92     0.55 860.84
  plus kinetic    875.72   876.53   827.95    -0.86    -0.10    -0.19 860.07
  plus kinetic    874.11   879.25   828.65    -1.32    -0.16    -0.91 860.67
  plus kinetic    871.91   878.30   830.46    -0.79    -0.74    -0.99 860.22
  plus kinetic    873.12   876.71   833.43     0.46     0.06    -1.33 861.09
  plus kinetic    877.21   876.12   834.66    -0.11    -0.14    -0.27 862.66
  plus kinetic    875.77   876.95   831.54     0.41    -0.98     0.40 861.42
  plus kinetic    874.26   879.12   833.60     2.11    -1.86     1.36 862.33
  plus kinetic    871.29   877.30   833.52     1.18    -2.78     1.37 860.70
  plus kinetic    873.20   880.67   832.99     2.43    -1.51     1.23 862.29
  plus kinetic    870.72   881.31   831.40     3.82     0.88     2.22 861.14
  plus kinetic    871.32   882.89   830.09     1.21     1.54     0.96 861.43
  plus kinetic    874.57   880.40   829.89    -0.61     0.45    -0.22 861.62
  plus kinetic    873.13   878.14   830.25    -1.85    -1.92     1.67 860.51
  plus kinetic    874.50   875.41   833.16    -1.91    -2.20     2.53 861.02
  plus kinetic    875.59   874.28   835.07    -1.53     1.52     2.71 861.65
  plus kinetic    875.43   876.57   831.83    -1.85     2.36     1.16 861.28
  plus kinetic    874.10   878.63   830.73    -0.74     1.77     0.69 861.15
  plus kinetic    872.40   881.13   833.35    -0.02    -0.36     0.96 862.29
  plus kinetic    874.38   882.20   832.00     1.31    -1.06     1.40 862.86
  plus kinetic    874.28   880.47   829.09     0.51     1.14     1.60 861.28
  plus kinetic    872.19   878.85   829.60    -0.23     3.35     1.37 860.21
  plus kinetic    875.06   879.93   830.29    -1.26     3.87     1.35 861.76
  plus kinetic    875.39   876.73   829.90    -0.74     1.21     1.53 860.67
  plus kinetic    875.69   876.55   829.95    -1.03    -0.25    -0.08 860.73
